Devices,Algorithm,AvgVCSize,AvgExecutionTimeMs,StdExecutionTimeMs,AvgDensity,AvgConnectivity,AvgEnergySaving,AvgError,AvgApproximationRatio,BestVCSize,BestExecutionTimeMs
8,BruteForce,5.8,0.0993,0.0235,0.7,70.0,4.9,27.5,0.0,1.0,5,0.0721
8,Backtracking,5.8,0.0651,0.0315,0.7,70.0,4.9,27.5,0.0,1.0,5,0.0372
8,Greedy,5.8,0.0137,0.006,0.7,70.0,4.9,27.5,0.0,1.0,5,0.0087
8,EdgeGreedy,7.6,0.0043,0.0015,0.7,70.0,4.9,5.0,33.5238,1.3352,6,0.0025
9,BruteForce,7,0.2379,0.0289,0.6778,67.7778,5.4222,22.2222,0.0,1.0,7,0.2047
9,Backtracking,7,0.1377,0.0333,0.6778,67.7778,5.4222,22.2222,0.0,1.0,7,0.0992
9,Greedy,7,0.0199,0.006,0.6778,67.7778,5.4222,22.2222,0.0,1.0,7,0.0135
9,EdgeGreedy,8,0.0065,0.0027,0.6778,67.7778,5.4222,11.1111,14.2857,1.1429,8,0.0041
10,BruteForce,7.8,0.6216,0.1612,0.7244,72.4444,6.52,22.0,0.0,1.0,7,0.4543
10,Backtracking,7.8,0.3311,0.1664,0.7244,72.4444,6.52,22.0,0.0,1.0,7,0.1577
10,Greedy,7.8,0.0277,0.0078,0.7244,72.4444,6.52,22.0,0.0,1.0,7,0.0173
10,EdgeGreedy,8.8,0.0079,0.0021,0.7244,72.4444,6.52,12.0,12.9365,1.1294,8,0.0055
11,BruteForce,8.4,1.0933,0.1418,0.6364,63.6364,6.3636,23.6364,0.0,1.0,7,0.9655
11,Backtracking,8.4,0.4814,0.1941,0.6364,63.6364,6.3636,23.6364,0.0,1.0,7,0.2325
11,Greedy,8.4,0.0265,0.0039,0.6364,63.6364,6.3636,23.6364,0.0,1.0,7,0.0222
11,EdgeGreedy,9.6,0.0081,0.0009,0.6364,63.6364,6.3636,12.7273,14.5238,1.1452,8,0.007
12,BruteForce,9.2,2.0731,0.2221,0.6788,67.8788,7.4667,23.3333,0.0,1.0,8,1.7587
12,Backtracking,9.2,0.7863,0.3684,0.6788,67.8788,7.4667,23.3333,0.0,1.0,8,0.2908
12,Greedy,9.2,0.0393,0.0078,0.6788,67.8788,7.4667,23.3333,0.0,1.0,8,0.0289
12,EdgeGreedy,11.2,0.0117,0.0038,0.6788,67.8788,7.4667,6.6667,21.8889,1.2189,10,0.0078
13,BruteForce,10.8,5.2785,1.7476,0.7513,75.1282,9.0154,16.9231,0.0,1.0,10,3.9677
13,Backtracking,10.8,2.5222,1.4231,0.7513,75.1282,9.0154,16.9231,0.0,1.0,10,1.2921
13,Greedy,11,0.0576,0.0242,0.7513,75.1282,9.0154,15.3846,2.0,1.02,10,0.0338
13,EdgeGreedy,12,0.0147,0.0042,0.7513,75.1282,9.0154,7.6923,11.6364,1.1164,12,0.0097
14,BruteForce,11.2,10.2867,1.2736,0.6176,61.7582,8.0286,20.0,0.0,1.0,11,8.9131
14,Backtracking,11.2,3.6223,0.9537,0.6176,61.7582,8.0286,20.0,0.0,1.0,11,2.7127
14,Greedy,11.4,0.0635,0.0113,0.6176,61.7582,8.0286,18.5714,1.8182,1.0182,11,0.0463
14,EdgeGreedy,13.6,0.0163,0.0029,0.6176,61.7582,8.0286,2.8571,21.5152,1.2152,12,0.0127
15,BruteForce,12.6,21.7282,2.9801,0.659,65.9048,9.2267,16.0,0.0,1.0,12,18.6227
15,Backtracking,12.6,8.4576,3.027,0.659,65.9048,9.2267,16.0,0.0,1.0,12,5.5048
15,Greedy,12.6,0.0743,0.0212,0.659,65.9048,9.2267,16.0,0.0,1.0,12,0.0596
15,EdgeGreedy,14,0.0226,0.0084,0.659,65.9048,9.2267,6.6667,11.2821,1.1128,14,0.0178
16,BruteForce,13.6,42.3456,5.9277,0.69,69.0,10.35,15.0,0.0,1.0,13,35.5124
16,Backtracking,13.6,17.3817,4.0176,0.69,69.0,10.35,15.0,0.0,1.0,13,13.4821
16,Greedy,13.6,0.0987,0.0239,0.69,69.0,10.35,15.0,0.0,1.0,13,0.0775
16,EdgeGreedy,14.4,0.0283,0.0079,0.69,69.0,10.35,10.0,5.9341,1.0593,14,0.0198
